time,duration,height,record_id
2005-04-19 16:59:59.971200,12.0,60.0,50
2005-04-20 06:00:00.000000,23.0,58.8,50
2005-04-21 07:00:00.028800,17.0,58.8,50
2005-04-23 13:59:59.971200,3.0,33.4,50
2005-04-24 13:59:59.971200,2.0,34.2,50
2005-05-08 13:59:59.971200,2.0,32.0,50
2005-05-14 15:00:00.000000,8.0,58.9,50
2005-05-15 04:00:00.028800,8.0,51.4,50
2005-05-15 13:59:59.971200,34.0,72.0,50
2005-05-23 15:00:00.000000,4.0,42.2,50
2005-07-08 13:59:59.971200,3.0,33.2,50
2006-04-29 12:00:00.000000,8.0,48.4,50
2006-04-30 13:59:59.971200,2.0,33.4,50
2006-04-30 16:59:59.971200,1.0,33.4,50
2007-05-01 13:00:00.028800,4.0,36.9,50
2007-05-29 07:59:59.971200,3.0,46.6,50
2007-05-29 12:00:00.000000,4.0,40.1,50
2007-05-30 13:00:00.028800,2.0,33.2,50
2007-07-12 09:00:00.000000,13.0,53.9,50
2008-05-08 13:59:59.971200,2.0,34.4,50
2008-06-13 06:00:00.000000,1.0,31.6,50
2008-06-13 07:59:59.971200,1.0,36.7,50
2008-06-13 10:00:00.028800,1.0,30.2,50
2009-04-01 18:00:00.000000,2.0,35.4,50
2009-04-02 16:00:00.028800,7.0,46.1,50
2009-04-03 16:59:59.971200,6.0,38.1,50
2009-04-12 13:59:59.971200,5.0,40.0,50
2009-05-13 16:00:00.028800,4.0,46.3,50
2010-04-02 15:00:00.000000,3.0,34.2,50
2010-04-04 16:00:00.028800,2.0,33.0,50
2010-04-06 16:00:00.028800,5.0,48.6,50
2010-04-24 07:59:59.971200,1.0,30.9,50
2010-04-29 13:59:59.971200,1.0,33.4,50
2010-05-04 18:00:00.000000,2.0,39.3,50
2010-05-25 16:59:59.971200,1.0,31.3,50
2010-05-25 19:00:00.028800,2.0,33.7,50
2010-05-26 10:59:59.971200,1.0,30.1,50
2010-06-09 12:00:00.000000,2.0,31.5,50
2011-02-10 18:00:00.000000,1.0,31.8,50
2011-02-11 19:00:00.028800,1.0,30.8,50
2011-02-24 16:00:00.028800,3.0,32.9,50
