Date or Return Period,"Water Level (m, MHHW)","Water Level (ft, MHHW)"
2020-12-15,0.46,1.5
100-year flood,0.45,1.48
2019-12-25,0.45,1.47
2017-08-21,0.44,1.44
50-year flood,0.44,1.43
1968-12-19,0.44,1.43
2021-12-05,0.43,1.4
1992-09-12,0.42,1.39
2020-07-20,0.42,1.39
2020-11-15,0.42,1.36
2020-10-19,0.41,1.35
2017-06-24,0.41,1.35
10-year flood,0.39,1.27
2-year flood,0.31,1.01
