t,monthly_max,t_monthly_max,ONI
0.5358606557377049,2.49,2007-07-15 03:00:00.000000,-0.6433333333333334
0.617827868852459,2.473,2007-08-14 03:00:00.000000,-0.7266666666666667
0.7449908925318762,2.354,2007-09-29 16:00:00.028800,-1.205
0.8213797814207651,2.512,2007-10-27 15:00:00.000000,-1.42
0.9006147540983607,2.5890002,2007-11-25 15:00:00.000000,-1.55
0.9798497267759563,2.5080001,2007-12-24 15:00:00.000000,-1.62
1.0617030649160089,2.44,2008-01-22 13:59:59.971200,-1.5999999999999999
1.102686671473386,2.388,2008-02-06 13:59:59.971200,-1.56
1.179075591985428,2.3070002,2008-03-05 13:00:00.028800,-1.405
1.2709471766848817,2.401,2008-04-08 04:00:00.028800,-1.15
1.3500683060109289,2.4420002,2008-05-07 03:00:00.000000,-0.925
1.4264571632766647,2.5210001,2008-06-04 01:59:59.971200,-0.725
1.5820810564663024,2.548,2008-07-31 01:00:00.028800,-0.32333333333333336
1.584927108631856,2.5740001,2008-08-01 01:59:59.971200,-0.27666666666666667
1.737704918032787,2.3490002,2008-09-26 00:00:00.000000,-0.295
1.7940573770491803,2.426,2008-10-16 15:00:00.000000,-0.45
1.8761384335154827,2.5560002,2008-11-15 16:00:00.028800,-0.61
1.9525273224043715,2.575,2008-12-13 15:00:00.000000,-0.67
2.0316484201072655,2.513,2009-01-11 13:59:59.971200,-0.79
2.1053051001821492,2.397,2009-02-07 13:00:00.028800,-0.8200000000000001
2.1844262295081966,2.3400002,2009-03-08 12:00:00.000000,-0.7
2.320127504553734,2.329,2009-04-27 04:00:00.028800,-0.16
2.3964025184679216,2.331,2009-05-25 01:59:59.971200,0.14500000000000002
2.478483606557377,2.4480002,2009-06-24 03:00:00.000000,0.365
2.554872463823113,2.4510002,2009-07-22 01:59:59.971200,0.515
2.6312613843351547,2.523,2009-08-19 01:00:00.028800,0.645
2.7231329690346087,2.3950002,2009-09-21 16:00:00.028800,0.86
2.799521857923497,2.387,2009-10-19 15:00:00.000000,1.1266666666666667
2.8460837887067396,2.3890002,2009-11-05 16:00:00.028800,1.2433333333333334
2.9224726775956285,2.5010002,2009-12-03 15:00:00.000000,1.46
3.0044398907103824,2.482,2010-01-01 15:00:00.000000,1.53
3.15721766848816,2.3470001,2010-02-26 13:00:00.028800,1.03
3.246243169398907,2.329,2010-03-31 03:00:00.000000,0.6766666666666666
3.2489754098360657,2.3230002,2010-04-01 03:00:00.000000,0.5133333333333333
3.4018669993422384,2.413,2010-05-27 01:59:59.971200,-0.33333333333333337
3.4483150867739325,2.4150002,2010-06-13 01:59:59.971200,-0.4966666666666667
3.527550059451528,2.5340002,2010-07-12 01:59:59.971200,-0.855
3.6067850321291237,2.503,2010-08-10 01:59:59.971200,-1.2000000000000002
3.683173952641166,2.4290001,2010-09-07 01:00:00.028800,-1.455
3.7721994535519126,2.43,2010-10-09 15:00:00.000000,-1.6
3.8485883108176484,2.4740002,2010-11-06 13:59:59.971200,-1.64
