t,monthly_max,t_monthly_max,PMM
0.07012750455373407,1.4200001,1993-01-25 16:00:00.028800,3.8
0.09995443103622748,1.7340001,1993-02-05 13:59:59.971200,2.59
0.19171220400728597,1.4840001,1993-03-11 04:00:00.028800,0.53
0.2709471766848816,1.6550001,1993-04-09 04:00:00.028800,-0.875
0.3473360655737705,1.71,1993-05-07 03:00:00.000000,-0.25
0.42645716327666466,1.664,1993-06-05 01:59:59.971200,1.085
0.5085382513661202,1.667,1993-07-05 03:00:00.000000,1.96
0.6257969034608378,1.6,1993-08-17 01:00:00.028800,1.91
0.7050318761384335,1.5760001,1993-09-15 01:00:00.028800,2.0949999999999998
0.7913251366120219,1.6370001,1993-10-16 15:00:00.000000,3.125
0.8677139938777575,1.5510001,1993-11-13 13:59:59.971200,3.21
0.9525273224043715,1.667,1993-12-14 15:00:00.000000,3.005
1.0753642671018013,1.603,1994-01-27 13:59:59.971200,3.09
1.1080373406193078,1.536,1994-02-08 13:00:00.028800,3.4299999999999997
1.2308743169398908,1.503,1994-03-25 12:00:00.000000,4.17
1.3200136612021858,1.5480001,1994-04-27 03:00:00.000000,3.29
1.4020947176684881,1.567,1994-05-27 04:00:00.028800,2.0549999999999997
1.4727914389799635,1.567,1994-06-22 01:00:00.028800,3.72
1.5576047042602712,1.6700001,1994-07-23 01:59:59.971200,5.390000000000001
1.6311475409836067,1.5940001,1994-08-19 00:00:00.000000,4.62
1.674863387978142,1.475,1994-09-04 00:00:00.000000,3.165
1.7611566168285773,1.5610001,1994-10-05 13:59:59.971200,0.78
1.8431238299433312,1.5450001,1994-11-04 13:59:59.971200,-2.485
1.922358802620927,1.6400001,1994-12-03 13:59:59.971200,-3.5199999999999996
2.083560988413277,1.5760001,1995-01-30 13:59:59.971200,-1.665
2.1216985428051003,1.5000001,1995-02-13 13:00:00.028800,1.4133333333333336
2.165528201528031,1.4510001,1995-03-01 13:59:59.971200,3.1766666666666667
2.2898451414187413,1.6120001,1995-04-16 01:59:59.971200,4.13
2.3690801140963367,1.6150001,1995-05-15 01:59:59.971200,3.825
