t,monthly_max,t_monthly_max,ONI
0.02333788706739526,2.252,1993-01-08 13:00:00.028800,-0.020000000000000004
0.10257285974499089,2.298,1993-02-06 13:00:00.028800,0.195
0.17896174863387979,2.0640001,1993-03-06 12:00:00.000000,0.4
0.2679872179214734,2.1920002,1993-04-08 01:59:59.971200,0.585
0.350068306010929,2.1980002,1993-05-08 03:00:00.000000,0.685
0.4701730102712002,2.1880002,1993-06-21 01:59:59.971200,0.44499999999999995
0.5494079829487958,2.1980002,1993-07-20 01:59:59.971200,0.28500000000000003
0.6257969034608378,2.2250001,1993-08-17 01:00:00.028800,0.2
0.7049180327868853,2.1060002,1993-09-15 00:00:00.000000,0.15
0.7912112616373204,2.1790001,1993-10-16 13:59:59.971200,0.08
0.870332422586521,2.131,1993-11-14 13:00:00.028800,0.060000000000000005
0.9468351548269581,2.2010002,1993-12-12 13:00:00.028800,0.05
1.0780965075389597,2.161,1994-01-28 13:59:59.971200,0.06333333333333334
1.1107695810564664,2.045,1994-02-09 13:00:00.028800,0.06666666666666667
1.2308743169398908,2.0570002,1994-03-25 12:00:00.000000,0.24
1.3198997862274844,2.1060002,1994-04-27 01:59:59.971200,0.365
1.3962887067395264,2.1090002,1994-05-25 01:00:00.028800,0.415
1.4726775956284153,2.0700002,1994-06-22 00:00:00.000000,0.425
1.5603369446974296,2.112,1994-07-24 01:59:59.971200,0.435
1.633879781420765,2.112,1994-08-20 00:00:00.000000,0.47000000000000003
1.674863387978142,1.9840001,1994-09-04 00:00:00.000000,0.51
1.7667349726775956,2.121,1994-10-07 15:00:00.000000,0.645
1.8459699453551912,2.039,1994-11-05 15:00:00.000000,0.875
1.9166666666666665,2.1000001,1994-12-01 12:00:00.000000,1.05
2.0834471766848814,2.124,1995-01-30 13:00:00.028800,0.88
2.124430783242259,2.121,1995-02-14 13:00:00.028800,0.7999999999999999
2.165414389799636,2.042,1995-03-01 13:00:00.028800,0.625
2.325250455373406,2.0300002,1995-04-29 01:00:00.028800,0.22
2.3690801140963367,2.0760002,1995-05-15 01:59:59.971200,0.08333333333333334
2.451047327211091,2.158,1995-06-14 01:59:59.971200,0.026666666666666672
2.5302822998886865,2.167,1995-07-13 01:59:59.971200,-0.135
2.6066712204007283,2.0670002,1995-08-10 01:00:00.028800,-0.39
2.6857923497267757,2.088,1995-09-08 00:00:00.000000,-0.675
2.8186475409836067,2.039,1995-10-26 15:00:00.000000,-0.985
2.8921903460837886,2.2280002,1995-11-22 13:00:00.028800,-0.99
2.977003611364096,2.164,1995-12-23 13:59:59.971200,-0.94
3.056238584041692,2.1950002,1996-01-20 13:59:59.971200,-0.825
3.1353597449908923,2.2210002,1996-02-18 13:00:00.028800,-0.6966666666666667
3.1763433515482697,2.134,1996-03-04 13:00:00.028800,-0.6433333333333333
3.300774103167375,1.9280001,1996-04-19 01:59:59.971200,-0.36333333333333334
3.341757709724752,2.038,1996-05-04 01:59:59.971200,-0.33666666666666667
3.49738160291439,2.173,1996-06-30 01:00:00.028800,-0.29
3.5001138433515484,2.2120001,1996-07-01 01:00:00.028800,-0.28
3.658469945355191,2.1750002,1996-08-28 00:00:00.000000,-0.33499999999999996
3.7321265621837685,2.186,1996-09-23 22:59:59.971200,-0.375
3.823998146883222,2.1450002,1996-10-27 13:59:59.971200,-0.4166666666666667
3.8705601092896176,2.2050002,1996-11-13 15:00:00.000000,-0.43333333333333335
3.9823542805100183,2.298,1996-12-24 13:00:00.028800,-0.49333333333333335
4.023337887067395,2.226,1997-01-08 13:00:00.028800,-0.49666666666666665
4.105305100182149,2.181,1997-02-07 13:00:00.028800,-0.43
4.1816939890710385,2.117,1997-03-07 12:00:00.000000,-0.22999999999999998
4.273565573770492,2.015,1997-04-10 03:00:00.000000,0.09
4.393670278030763,2.184,1997-05-24 01:59:59.971200,0.985
4.472905250708359,2.1230001,1997-06-22 01:59:59.971200,1.4100000000000001
4.549294171220401,2.1560001,1997-07-20 01:00:00.028800,1.75
4.628529143897996,2.2450001,1997-08-18 01:00:00.028800,1.98
4.666780510018215,2.078,1997-09-01 01:00:00.028800,2.06
4.7939435020744785,2.0800002,1997-10-17 13:59:59.971200,2.365
4.914162081309452,2.0700002,1997-11-30 13:59:59.971200,2.395
4.955145687866828,2.1950002,1997-12-15 13:59:59.971200,2.3150000000000004
5.080828747976118,2.213,1998-01-29 13:59:59.971200,2.085
5.160063720653714,2.084,1998-02-27 13:59:59.971200,1.685
5.243510928961749,1.937,1998-03-30 03:00:00.000000,1.2149999999999999
5.3226320266646425,2.028,1998-04-28 01:59:59.971200,0.72
5.401866999342238,1.95,1998-05-27 01:59:59.971200,0.15999999999999998
5.478255919854281,1.9610001,1998-06-24 01:00:00.028800,-0.455
5.56033694469743,2.0900002,1998-07-24 01:59:59.971200,-0.8933333333333334
5.601206739526412,2.104,1998-08-08 01:00:00.028800,-1.0066666666666668
5.683173952641166,2.114,1998-09-07 01:00:00.028800,-1.215
