t,monthly_max,t_monthly_max,ONI
0.026297814207650275,1.5120001,1993-01-09 15:00:00.000000,-0.020000000000000004
0.10541891191054442,1.46,1993-02-07 13:59:59.971200,0.195
0.1762295081967213,1.3720001,1993-03-05 12:00:00.000000,0.4
0.26810109289617484,1.4300001,1993-04-08 03:00:00.000000,0.585
0.34448995016191053,1.4200001,1993-05-06 01:59:59.971200,0.685
0.42645716327666466,1.4940001,1993-06-05 01:59:59.971200,0.635
0.5465619307832422,1.4840001,1993-07-19 01:00:00.028800,0.28500000000000003
0.6257969034608378,1.3690001,1993-08-17 01:00:00.028800,0.2
0.7050318761384335,1.3260001,1993-09-15 01:00:00.028800,0.125
0.7913251366120219,1.3720001,1993-10-16 15:00:00.000000,0.07
0.8732923497267759,1.286,1993-11-15 15:00:00.000000,0.04666666666666667
0.9469489665553532,1.35,1993-12-12 13:59:59.971200,0.05333333333333333
1.0753642671018013,1.3260001,1994-01-27 13:59:59.971200,0.065
1.151639344262295,1.2010001,1994-02-24 12:00:00.000000,0.12000000000000001
1.2407786885245902,1.302,1994-03-29 03:00:00.000000,0.24
1.3200136612021858,1.3720001,1994-04-27 03:00:00.000000,0.365
1.3964025184679214,1.3900001,1994-05-25 01:59:59.971200,0.415
1.475523679417122,1.3560001,1994-06-23 01:00:00.028800,0.425
1.5547586520947176,1.5180001,1994-07-22 01:00:00.028800,0.435
1.6312613843351547,1.378,1994-08-19 01:00:00.028800,0.47000000000000003
1.6749772313296902,1.393,1994-09-04 01:00:00.028800,0.51
1.7668488160291438,1.399,1994-10-07 16:00:00.028800,0.645
1.8431238299433312,1.5150001,1994-11-04 13:59:59.971200,0.875
1.9196265621837685,1.439,1994-12-02 13:59:59.971200,1.05
2.0778688524590163,1.521,1995-01-28 12:00:00.000000,0.88
2.089139344262295,1.4020001,1995-02-01 15:00:00.000000,0.7999999999999999
2.165528201528031,1.292,1995-03-01 13:59:59.971200,0.625
2.3280965075389597,1.414,1995-04-30 01:59:59.971200,0.22
2.3719262295081966,1.4720001,1995-05-16 03:00:00.000000,0.08333333333333334
2.4483150867739325,1.381,1995-06-13 01:59:59.971200,0.026666666666666672
2.527550059451528,1.4540001,1995-07-12 01:59:59.971200,-0.135
2.60393897996357,1.4200001,1995-08-09 01:00:00.028800,-0.39
2.680327868852459,1.3590001,1995-09-06 00:00:00.000000,-0.675
2.815915300546448,1.3620001,1995-10-25 15:00:00.000000,-0.985
2.892304157812184,1.554,1995-11-22 13:59:59.971200,-0.99
2.977117486338798,1.5450001,1995-12-23 15:00:00.000000,-0.94
3.0533925318761383,1.5200001,1996-01-19 13:00:00.028800,-0.825
3.1354735567192877,1.3570001,1996-02-18 13:59:59.971200,-0.6966666666666667
3.1764571632766647,1.3590001,1996-03-04 13:59:59.971200,-0.6433333333333333
3.303620218579235,1.3540001,1996-04-20 03:00:00.000000,-0.35
3.3828551912568305,1.3620001,1996-05-19 03:00:00.000000,-0.30666666666666664
3.4209926824023476,1.4560001,1996-06-02 01:59:59.971200,-0.30333333333333334
3.5737704918032787,1.4410001,1996-07-28 00:00:00.000000,-0.29500000000000004
3.6530054644808745,1.4300001,1996-08-26 00:00:00.000000,-0.33499999999999996
3.7349726775956285,1.501,1996-09-25 00:00:00.000000,-0.375
3.823998146883222,1.4990001,1996-10-27 13:59:59.971200,-0.4166666666666667
3.8705601092896176,1.5170001,1996-11-13 15:00:00.000000,-0.43333333333333335
3.9824680922384132,1.508,1996-12-24 13:59:59.971200,-0.49333333333333335
4.026183939232949,1.429,1997-01-09 13:59:59.971200,-0.49666666666666665
4.102572859744991,1.368,1997-02-06 13:00:00.028800,-0.43
4.181807832422587,1.3590001,1997-03-07 13:00:00.028800,-0.22999999999999998
4.3118169398907105,1.2370001,1997-04-24 03:00:00.000000,0.515
4.391051912568306,1.4000001,1997-05-23 03:00:00.000000,0.985
4.47301912568306,1.4580001,1997-06-22 03:00:00.000000,1.4100000000000001
4.549407982948796,1.493,1997-07-20 01:59:59.971200,1.75
4.6286429556263915,1.4430001,1997-08-18 01:59:59.971200,2.02
4.704918032786885,1.4610001,1997-09-15 00:00:00.000000,2.14
4.796789617486339,1.376,1997-10-18 15:00:00.000000,2.3533333333333335
4.870446234314916,1.3770001,1997-11-14 13:59:59.971200,2.3766666666666665
4.95525956284153,1.401,1997-12-15 15:00:00.000000,2.3150000000000004
5.078210382513661,1.3920001,1998-01-28 15:00:00.000000,2.1366666666666667
5.116347873659178,1.2950001,1998-02-11 13:59:59.971200,2.033333333333333
5.228028201528031,1.179,1998-03-24 10:59:59.971200,1.2149999999999999
5.322745901639344,1.3280001,1998-04-28 03:00:00.000000,0.72
5.39913475890508,1.368,1998-05-26 01:59:59.971200,0.15999999999999998
5.478369731582676,1.3310001,1998-06-24 01:59:59.971200,-0.3466666666666667
5.519353338140053,1.3130001,1998-07-09 01:59:59.971200,-0.5633333333333334
5.598474499089253,1.2490001,1998-08-07 01:00:00.028800,-0.9500000000000001
5.713114754098361,1.3100001,1998-09-18 00:00:00.000000,-1.3233333333333335
5.769581056466302,1.3260001,1998-10-08 16:00:00.028800,-1.3366666666666667
5.843123829943331,1.388,1998-11-04 13:59:59.971200,-1.415
5.998747723132969,1.3670001,1998-12-31 13:00:00.028800,-1.5633333333333335
6.007058256172839,1.417,1999-01-02 13:59:59.971200,-1.5566666666666666
6.162682149362477,1.406,1999-02-28 13:00:00.028800,-1.2233333333333334
6.165414389799635,1.388,1999-03-01 13:00:00.028800,-1.1466666666666667
6.32809650753896,1.235,1999-04-30 01:59:59.971200,-1.0
6.374658469945355,1.363,1999-05-17 03:00:00.000000,-1.0266666666666666
6.451047327211091,1.45,1999-06-14 01:59:59.971200,-1.0333333333333334
6.530282299888686,1.4590001,1999-07-13 01:59:59.971200,-1.07
6.606671220400728,1.4250001,1999-08-10 01:00:00.028800,-1.105
6.6803278688524586,1.3720001,1999-09-06 00:00:00.000000,-1.135
6.821493624772313,1.378,1999-10-27 16:00:00.028800,-1.3599999999999999
6.8978825136612025,1.4480001,1999-11-24 15:00:00.000000,-1.555
6.974271370926938,1.567,1999-12-22 13:59:59.971200,-1.6549999999999998
7.056238584041692,1.3850001,2000-01-20 13:59:59.971200,-1.5766666666666667
7.102800546448087,1.3570001,2000-02-06 15:00:00.000000,-1.4933333333333332
7.209016393442623,1.3110001,2000-03-16 12:00:00.000000,-0.9833333333333334
7.270947176684881,1.302,2000-04-08 04:00:00.028800,-0.8966666666666667
7.380009075844971,1.32,2000-05-18 01:59:59.971200,-0.6866666666666666
