t,monthly_max,t_monthly_max,PMM
0.020833333333333332,1.3900001,1993-01-07 15:00:00.000000,3.8
0.10280054644808743,1.411,1993-02-06 15:00:00.000000,2.59
0.1890937752985226,1.3440001,1993-03-10 04:59:59.971200,0.53
0.26536885245901637,1.4300001,1993-04-07 03:00:00.000000,-0.875
0.34460382513661203,1.506,1993-05-06 03:00:00.000000,-0.25
0.47324678076300347,1.338,1993-06-22 04:59:59.971200,1.085
0.5496357012750455,1.4230001,1993-07-20 04:00:00.028800,1.96
0.6260245901639344,1.5150001,1993-08-17 03:00:00.000000,1.91
0.7476092896174863,1.2440001,1993-09-30 15:00:00.000000,2.0949999999999998
0.7914389799635702,1.4480001,1993-10-16 16:00:00.028800,3.125
0.867827868852459,1.417,1993-11-13 15:00:00.000000,3.21
0.9228142076502732,1.3870001,1993-12-03 18:00:00.000000,3.005
1.0347221905990691,1.588,1994-01-12 16:59:59.971200,3.09
1.157559198542805,1.4260001,1994-02-26 16:00:00.028800,3.4299999999999997
1.164617486338798,1.35,1994-03-01 06:00:00.000000,4.17
1.3202413162821292,1.35,1994-04-27 04:59:59.971200,3.29
1.3937841530054644,1.4330001,1994-05-24 03:00:00.000000,2.0549999999999997
1.481443502074479,1.3050001,1994-06-25 04:59:59.971200,3.72
1.5549863387978142,1.3870001,1994-07-22 03:00:00.000000,5.390000000000001
1.6507285974499089,1.5760001,1994-08-26 04:00:00.028800,4.62
1.6877276550799434,1.353,1994-09-08 16:59:59.971200,3.165
1.761384335154827,1.728,1994-10-05 16:00:00.028800,0.78
1.837773224043716,1.582,1994-11-02 15:00:00.000000,-2.485
1.9961292944242057,1.4200001,1994-12-30 13:59:59.971200,-3.5199999999999996
2.0072859744990894,1.4200001,1995-01-02 16:00:00.028800,-1.665
2.1629098360655736,1.271,1995-02-28 15:00:00.000000,2.295
2.2108378870673953,1.57,1995-03-18 04:00:00.028800,4.1850000000000005
2.2929189119105446,1.417,1995-04-17 04:59:59.971200,4.13
2.3693078324225865,1.3690001,1995-05-15 04:00:00.028800,3.825
2.4512750455373404,1.332,1995-06-14 04:00:00.028800,2.295
2.5305100182149363,1.353,1995-07-13 04:00:00.028800,2.16
2.6506147540983607,1.4260001,1995-08-26 03:00:00.000000,2.79
2.686133879781421,1.4810001,1995-09-08 03:00:00.000000,2.6399999999999997
2.7751593490690145,1.3900001,1995-10-10 16:59:59.971200,2.435
2.895264116575592,1.6250001,1995-11-23 16:00:00.028800,3.47
2.9773451414187413,1.4480001,1995-12-23 16:59:59.971200,3.6
3.053620218579235,1.47,1996-01-19 15:00:00.000000,2.99
3.105874316939891,1.6340001,1996-02-07 18:00:00.000000,2.6799999999999997
3.2190346083788706,1.4360001,1996-03-20 04:00:00.028800,2.5149999999999997
3.2544398907103824,1.327,1996-04-02 03:00:00.000000,3.26
3.341985428051002,1.342,1996-05-04 04:00:00.028800,3.395
3.4212204007285973,1.4230001,1996-06-02 04:00:00.028800,1.68
3.5003415300546448,1.417,1996-07-01 03:00:00.000000,0.8899999999999999
3.658811475409836,1.3840001,1996-08-28 03:00:00.000000,1.69
3.739412568306011,1.4840001,1996-09-26 15:00:00.000000,2.2649999999999997
3.824225865209472,1.659,1996-10-27 16:00:00.028800,3.0149999999999997
3.8735200048067195,1.69,1996-11-14 16:59:59.971200,3.5
3.9854280510018216,1.5530001,1996-12-25 16:00:00.028800,4.51
4.029143897996357,1.59,1997-01-10 16:00:00.028800,4.5200000000000005
4.108378870673953,1.5380001,1997-02-08 16:00:00.028800,2.7800000000000002
4.191826015735681,1.4250001,1997-03-11 04:59:59.971200,1.96
4.268214936247723,1.399,1997-04-08 04:00:00.028800,1.6600000000000001
4.344603825136612,1.309,1997-05-06 03:00:00.000000,0.935
4.475979021200162,1.235,1997-06-23 04:59:59.971200,-1.9599999999999997
4.552367941712204,1.4130001,1997-07-21 04:00:00.028800,-4.88
4.628756830601093,1.3340001,1997-08-18 03:00:00.000000,-5.02
4.715050059451528,1.2980001,1997-09-18 16:59:59.971200,-5.4399999999999995
4.79143897996357,1.393,1997-10-16 16:00:00.028800,-6.215
4.911543715846994,1.478,1997-11-29 15:00:00.000000,-7.385
4.919968092238413,1.5120001,1997-12-02 16:59:59.971200,-8.434999999999999
5.0783242258652095,1.6020001,1998-01-28 16:00:00.028800,-7.525
5.119307832422587,1.5970001,1998-02-12 16:00:00.028800,-6.04
5.200022737047156,1.48,1998-03-14 04:59:59.971200,-6.98
5.322859744990892,1.4120001,1998-04-28 04:00:00.028800,-7.84
5.396516393442623,1.302,1998-05-25 03:00:00.000000,-5.165
5.478597449908925,1.312,1998-06-24 04:00:00.028800,-3.145
5.557718579234972,1.264,1998-07-23 03:00:00.000000,-2.525
5.604280510018215,1.3440001,1998-08-09 04:00:00.028800,-1.93
5.687727655079943,1.4480001,1998-09-08 16:59:59.971200,-2.3499999999999996
5.766962627757539,1.48,1998-10-07 16:59:59.971200,-3.215
5.843351548269581,1.496,1998-11-04 16:00:00.028800,-4.12
5.990437158469946,1.455,1998-12-28 12:00:00.000000,-3.95
6.004439890710382,1.669,1999-01-01 15:00:00.000000,-4.605
6.160063720653714,1.4860001,1999-02-27 13:59:59.971200,-6.605
6.219262295081967,1.5250001,1999-03-21 06:00:00.000000,-6.8
6.260359744990892,1.4940001,1999-04-05 07:00:00.028800,-6.63
6.372040072859745,1.3690001,1999-05-16 04:00:00.028800,-6.27
7.6643897996357016,1.4330001,2000-08-30 04:00:00.028800,0.27499999999999997
7.74783694469743,1.4210001,2000-09-29 16:59:59.971200,-0.485
7.788706739526412,1.3950001,2000-10-14 16:00:00.028800,-1.05
7.867941712204007,1.3980001,2000-11-12 16:00:00.028800,-1.335
7.944330601092896,1.414,2000-12-10 15:00:00.000000,-1.23
8.03483606557377,1.7030001,2001-01-12 18:00:00.000000,-2.5149999999999997
8.105532786885245,1.4860001,2001-02-07 15:00:00.000000,-4.8149999999999995
8.188979963570128,1.5220001,2001-03-10 04:00:00.028800,-5.745
8.31750907584497,1.33,2001-04-26 04:59:59.971200,-5.775
8.393897996357012,1.4720001,2001-05-24 04:00:00.028800,-4.465
8.423724922839506,1.343,2001-06-04 01:59:59.971200,-2.34
8.555100182149362,1.409,2001-07-22 04:00:00.028800,-0.385
8.631489071038251,1.473,2001-08-19 03:00:00.000000,1.225
8.710724043715848,1.5150001,2001-09-17 03:00:00.000000,1.495
8.79417122040073,1.519,2001-10-17 16:00:00.028800,2.3049999999999997
8.908697600435135,1.4670001,2001-11-28 13:59:59.971200,2.415
8.996357012750455,1.529,2001-12-30 16:00:00.028800,1.51
9.004667545790326,1.3920001,2002-01-01 16:59:59.971200,0.395
9.157445355191257,1.422,2002-02-26 15:00:00.000000,-1.335
9.164503611364097,1.3540001,2002-03-01 04:59:59.971200,-0.69
9.320127504553733,1.3610001,2002-04-27 04:00:00.028800,-0.015000000000000013
9.402094717668488,1.266,2002-05-27 04:00:00.028800,-1.135
9.478483606557377,1.2420001,2002-06-24 03:00:00.000000,-2.425
9.527891589506172,1.3670001,2002-07-12 04:59:59.971200,-2.205
9.604280510018215,1.4480001,2002-08-09 04:00:00.028800,-1.4900000000000002
9.686247723132968,1.4300001,2002-09-08 04:00:00.028800,-1.665
9.766848816029144,1.526,2002-10-07 16:00:00.028800,-2.28
9.84608378870674,1.5150001,2002-11-05 16:00:00.028800,-2.16
9.998747723132968,1.526,2002-12-31 13:00:00.028800,-0.84
10.053847873659178,1.7160001,2003-01-19 16:59:59.971200,0.9450000000000001
10.138547327211091,1.4610001,2003-02-19 16:59:59.971200,2.16
10.216416179670107,1.4200001,2003-03-20 04:59:59.971200,2.02
10.29280510018215,1.478,2003-04-17 04:00:00.028800,1.94
10.372040072859745,1.4740001,2003-05-16 04:00:00.028800,2.25
10.448315086773933,1.2600001,2003-06-13 01:59:59.971200,1.5350000000000001
10.533242258652095,1.3950001,2003-07-14 04:00:00.028800,1.045
10.666097449908925,1.3820001,2003-08-31 19:00:00.028800,1.69
10.736794171220401,1.4990001,2003-09-26 16:00:00.028800,1.7
10.818761384335154,1.6380001,2003-10-26 16:00:00.028800,1.055
10.895150273224044,1.5410001,2003-11-23 15:00:00.000000,0.61
10.971539130489779,1.4840001,2003-12-21 13:59:59.971200,0.595
11.04212204007286,1.7680001,2004-01-15 10:00:00.028800,0.665
11.138433515482696,1.5860001,2004-02-19 16:00:00.028800,0.575
11.170765027322405,1.4330001,2004-03-02 12:00:00.000000,0.355
11.268328747976119,1.327,2004-04-07 04:59:59.971200,1.61
11.350295961090872,1.3840001,2004-05-07 04:59:59.971200,2.88
11.423838797814208,1.3610001,2004-06-03 03:00:00.000000,2.59
11.5823087431694,1.4510001,2004-07-31 03:00:00.000000,2.4299999999999997
11.585154826958105,1.4810001,2004-08-01 04:00:00.028800,2.605
15.105646630236794,1.401,2008-02-07 16:00:00.028800,-4.545
15.191826015735682,1.368,2008-03-10 04:59:59.971200,-5.755
15.265482695810565,1.439,2008-04-06 04:00:00.028800,-7.375
15.347449908925318,1.473,2008-05-06 04:00:00.028800,-7.470000000000001
15.423838797814208,1.501,2008-06-03 03:00:00.000000,-6.215
15.508652094717668,1.363,2008-07-04 04:00:00.028800,-5.805
15.664275956284152,1.4070001,2008-08-30 03:00:00.000000,-5.8149999999999995
15.715050059451528,1.414,2008-09-17 16:59:59.971200,-4.890000000000001
15.79143897996357,1.4940001,2008-10-15 16:00:00.028800,-3.425
15.870560109289617,1.4740001,2008-11-13 15:00:00.000000,-1.77
15.949795081967213,1.618,2008-12-12 15:00:00.000000,-1.0
16.03176229508197,1.4050001,2009-01-11 15:00:00.000000,-1.68
16.11384335154827,1.4300001,2009-02-10 16:00:00.028800,-1.7
16.1875,1.4640001,2009-03-09 15:00:00.000000,-2.34
16.31454918032787,1.3110001,2009-04-25 03:00:00.000000,-3.06
16.355646630236794,1.3460001,2009-05-10 04:00:00.028800,-1.105
16.475865209471767,1.335,2009-06-23 04:00:00.028800,-0.735
16.55783242258652,1.348,2009-07-23 04:00:00.028800,-1.04
16.63706739526412,1.3900001,2009-08-21 04:00:00.028800,0.5199999999999999
16.717668488160292,1.3290001,2009-09-19 16:00:00.028800,1.7449999999999999
16.761384335154826,1.368,2009-10-05 16:00:00.028800,1.6099999999999999
16.840619307832423,1.3770001,2009-11-03 16:00:00.028800,0.955
16.998975409836067,1.432,2009-12-31 15:00:00.000000,1.4700000000000002
17.07809650753896,1.3840001,2010-01-28 13:59:59.971200,1.625
17.113615633222018,1.3750001,2010-02-10 13:59:59.971200,0.41000000000000003
17.246357012750455,1.46,2010-03-31 04:00:00.028800,-1.025
17.28176229508197,1.416,2010-04-13 03:00:00.000000,-2.25
17.369307832422585,1.315,2010-05-15 04:00:00.028800,-2.02
17.448542805100182,1.319,2010-06-13 04:00:00.028800,-1.2850000000000001
17.530510018214937,1.3950001,2010-07-13 04:00:00.028800,-1.735
17.606898907103826,1.409,2010-08-10 03:00:00.000000,-2.105
17.69319213595426,1.4740001,2010-09-10 16:59:59.971200,-1.6400000000000001
17.7695810564663,1.4920001,2010-10-08 16:00:00.028800,-1.185
17.889685792349727,1.6010001,2010-11-21 15:00:00.000000,-0.5800000000000001
17.925091043058085,1.5480001,2010-12-04 13:59:59.971200,-0.26
18.05646630236794,1.636,2011-01-20 16:00:00.028800,-1.17
18.135701275045538,1.2820001,2011-02-18 16:00:00.028800,-1.96
18.219148420107267,1.238,2011-03-21 04:59:59.971200,-3.1500000000000004
18.298269581056466,1.343,2011-04-19 04:00:00.028800,-4.695
18.374658469945356,1.416,2011-05-17 03:00:00.000000,-6.205
18.456739526411656,1.345,2011-06-16 04:00:00.028800,-7.12
18.500455373406194,1.3920001,2011-07-02 04:00:00.028800,-6.17
18.663137491145516,1.4770001,2011-08-30 16:59:59.971200,-4.66
18.74225865209472,1.6910001,2011-09-28 16:00:00.028800,-3.19
18.818647540983605,1.6090001,2011-10-26 15:00:00.000000,-2.24
18.86520947176685,1.526,2011-11-12 16:00:00.028800,-2.255
18.979849726775956,1.439,2011-12-24 15:00:00.000000,-3.0700000000000003
19.03198995016191,1.394,2012-01-11 16:59:59.971200,-3.995
19.108378870673953,1.393,2012-02-08 16:00:00.028800,-4.640000000000001
19.191826015735682,1.4920001,2012-03-10 04:59:59.971200,-5.1
19.268214936247723,1.4070001,2012-04-07 04:00:00.028800,-5.495
19.34744990892532,1.3520001,2012-05-06 04:00:00.028800,-6.92
19.426571038251367,1.302,2012-06-04 03:00:00.000000,-8.120000000000001
19.50580601092896,1.3560001,2012-07-03 03:00:00.000000,-7.53
19.667008196721312,1.309,2012-08-31 03:00:00.000000,-5.97
19.717782299888686,1.536,2012-09-18 16:59:59.971200,-3.435
19.797017272566283,1.4120001,2012-10-17 16:59:59.971200,-1.5
19.876138433515482,1.5100001,2012-11-15 16:00:00.028800,-0.08499999999999996
19.946948966555354,1.5090001,2012-12-11 13:59:59.971200,0.26
20.07832422586521,1.485,2013-01-28 16:00:00.028800,-1.28
20.16177137092694,1.4440001,2013-02-28 04:59:59.971200,-3.42
20.197290496609998,1.4900001,2013-03-13 04:59:59.971200,-2.9000000000000004
20.276411657559198,1.4860001,2013-04-11 04:00:00.028800,0.8800000000000001
20.396516393442624,1.33,2013-05-25 03:00:00.000000,2.05
20.475751366120218,1.3280001,2013-06-23 03:00:00.000000,1.775
20.55783242258652,1.4070001,2013-07-23 04:00:00.028800,1.775
20.639799635701277,1.4640001,2013-08-22 04:00:00.028800,1.2850000000000001
20.723246780763002,1.4490001,2013-09-21 16:59:59.971200,0.56
20.76696262775754,1.4460001,2013-10-07 16:59:59.971200,0.56
20.840619307832423,1.4050001,2013-11-03 16:00:00.028800,1.205
20.969148420107267,1.429,2013-12-20 16:59:59.971200,1.105
21.00728597449909,1.3330001,2014-01-02 16:00:00.028800,2.625
21.162909836065573,1.286,2014-02-28 15:00:00.000000,4.425000000000001
21.167235851801255,1.6020001,2014-03-02 04:59:59.971200,3.345
21.251935305353168,1.33,2014-04-02 04:59:59.971200,1.74
21.369307832422585,1.223,2014-05-15 04:00:00.028800,0.98
21.45127504553734,1.3950001,2014-06-14 04:00:00.028800,0.14500000000000002
21.530510018214937,1.442,2014-07-13 04:00:00.028800,0.26499999999999996
21.609744990892533,1.409,2014-08-11 04:00:00.028800,1.2650000000000001
21.690346083788707,1.483,2014-09-09 16:00:00.028800,1.8050000000000002
21.772313296903462,1.5280001,2014-10-09 16:00:00.028800,2.1
21.848702185792348,1.386,2014-11-06 15:00:00.000000,2.895
21.974499089253186,1.572,2014-12-22 16:00:00.028800,4.1
22.059312354533496,1.9260001,2015-01-21 16:59:59.971200,6.220000000000001
22.138433515482696,1.393,2015-02-19 16:00:00.028800,8.1
22.183629294424204,1.2850001,2015-03-08 04:59:59.971200,7.375
22.298269581056466,1.3920001,2015-04-19 04:00:00.028800,4.15
22.374658469945356,1.396,2015-05-17 03:00:00.000000,2.375
22.45662568306011,1.3210001,2015-06-16 03:00:00.000000,2.31
22.57957650273224,1.401,2015-07-31 03:00:00.000000,2.415
22.620673952641166,1.4350001,2015-08-15 04:00:00.028800,3.125
22.74225865209472,1.478,2015-09-28 16:00:00.028800,3.11
22.82422586520947,1.6860001,2015-10-28 16:00:00.028800,1.5299999999999998
22.903460837887067,1.465,2015-11-26 16:00:00.028800,-0.9299999999999999
22.94159836065574,1.478,2015-12-10 15:00:00.000000,-2.715
23.03198995016191,1.386,2016-01-11 16:59:59.971200,-2.21
23.15494076983404,1.2620001,2016-02-25 16:59:59.971200,0.04499999999999993
23.246812354533496,1.445,2016-03-30 07:59:59.971200,1.7799999999999998
23.273793228850437,1.5350001,2016-04-09 04:59:59.971200,2.58
23.352914389799636,1.4080001,2016-05-08 04:00:00.028800,3.495
23.42941712204007,1.488,2016-06-05 04:00:00.028800,4.49
23.50853825136612,1.371,2016-07-04 03:00:00.000000,5.215
23.634335154826957,1.498,2016-08-19 04:00:00.028800,4.635
23.717782299888686,1.529,2016-09-18 16:59:59.971200,2.65
23.794171220400727,1.5220001,2016-10-16 16:00:00.028800,1.805
23.873292349726775,1.6520001,2016-11-14 15:00:00.000000,1.67
23.949681206992512,1.641,2016-12-12 13:59:59.971200,1.2149999999999999
24.037454431036227,1.7110001,2017-01-13 16:59:59.971200,0.235
24.160291438979964,1.4970001,2017-02-27 16:00:00.028800,-0.17000000000000004
24.246584699453553,1.6430001,2017-03-31 06:00:00.000000,0.065
24.249430783242257,1.4890001,2017-04-01 07:00:00.028800,-0.075
24.396516393442624,1.5050001,2017-05-25 03:00:00.000000,0.5700000000000001
24.478597449908925,1.5230001,2017-06-24 04:00:00.028800,1.315
24.56056466302368,1.3720001,2017-07-24 04:00:00.028800,1.9899999999999998
24.63695355191257,1.394,2017-08-21 03:00:00.000000,3.2849999999999997
24.690573770491802,1.4210001,2017-09-09 18:00:00.000000,3.6499999999999995
24.76696262775754,1.503,2017-10-07 16:59:59.971200,4.655
24.84335154826958,1.5660001,2017-11-04 16:00:00.028800,6.755000000000001
24.91962656218377,1.4380001,2017-12-02 13:59:59.971200,7.18
25.083674863387976,1.455,2018-01-30 15:00:00.000000,6.77
25.094945355191257,1.6120001,2018-02-03 18:00:00.000000,5.91
25.16564207650273,1.3130001,2018-03-01 15:00:00.000000,6.03
25.325478142076502,1.327,2018-04-29 03:00:00.000000,6.055
25.3748861250253,1.5020001,2018-05-17 04:59:59.971200,4.15
25.45127504553734,1.4080001,2018-06-14 04:00:00.028800,2.835
25.533242258652095,1.437,2018-07-14 04:00:00.028800,3.685
25.609631147540984,1.4380001,2018-08-11 03:00:00.000000,4.99
25.742486338797814,1.445,2018-09-28 18:00:00.000000,4.13
25.754895264116577,1.5710001,2018-10-03 07:00:00.028800,2.945
25.903688524590162,1.508,2018-11-26 18:00:00.000000,2.285
25.927823283495243,1.406,2018-12-05 13:59:59.971200,1.365
26.064890710382514,1.4760001,2019-01-23 18:00:00.000000,1.2650000000000001
26.138319672131146,1.462,2019-02-19 15:00:00.000000,1.355
26.211976288959725,1.388,2019-03-18 13:59:59.971200,1.6099999999999999
26.268328747976117,1.317,2019-04-08 04:59:59.971200,2.535
26.344717668488162,1.2090001,2019-05-06 04:00:00.028800,3.08
26.45935792349727,1.3360001,2019-06-17 03:00:00.000000,3.4050000000000002
26.57957650273224,1.4580001,2019-07-31 03:00:00.000000,4.45
26.661543715846996,1.485,2019-08-30 03:00:00.000000,5.545
26.744990892531877,1.4360001,2019-09-29 16:00:00.028800,5.57
26.82422586520947,1.7220001,2019-10-28 16:00:00.028800,5.23
26.903346994535518,1.5220001,2019-11-26 15:00:00.000000,5.645
26.947176684881605,1.5740001,2019-12-12 16:00:00.028800,4.615
27.031876138433514,1.439,2020-01-11 16:00:00.028800,1.79
27.113957163276666,1.465,2020-02-10 16:59:59.971200,-0.030000000000000027
27.200136612021858,1.4990001,2020-03-13 06:00:00.000000,-0.79
27.27367941712204,1.383,2020-04-09 04:00:00.028800,-0.30500000000000005
27.35006830601093,1.3750001,2020-05-07 03:00:00.000000,0.99
27.429303278688526,1.498,2020-06-05 03:00:00.000000,1.755
27.554986338797814,1.439,2020-07-21 03:00:00.000000,2.14
27.63706739526412,1.4590001,2020-08-20 04:00:00.028800,3.285
27.720514540325844,1.4670001,2020-09-19 16:59:59.971200,4.54
27.796903460837886,1.6290001,2020-10-17 16:00:00.028800,4.925000000000001
27.873292349726775,1.437,2020-11-14 15:00:00.000000,3.745
27.95525956284153,1.5550001,2020-12-14 15:00:00.000000,0.685
28.004667545790326,1.534,2021-01-01 16:59:59.971200,-1.8650000000000002
28.12215388458814,1.5680001,2021-02-13 16:59:59.971200,-3.165
28.246470824478852,1.378,2021-03-31 04:59:59.971200,-2.455
28.322859744990893,1.478,2021-04-28 04:00:00.028800,-1.665
28.358265027322403,1.386,2021-05-11 03:00:00.000000,-2.355
28.481329690346083,1.34,2021-06-25 04:00:00.028800,-1.99
28.563296903460838,1.498,2021-07-25 04:00:00.028800,-0.86
28.609858802620927,1.4660001,2021-08-11 04:59:59.971200,0.10500000000000004
28.68624772313297,1.355,2021-09-08 04:00:00.028800,0.23500000000000004
28.769694868194698,1.4670001,2021-10-08 16:59:59.971200,-0.065
28.84323770491803,1.6350001,2021-11-04 15:00:00.000000,1.2449999999999999
28.925318761384336,1.567,2021-12-04 16:00:00.028800,3.5
29.00717213114754,1.603,2022-01-02 15:00:00.000000,4.205
29.154257709724753,1.5000001,2022-02-25 10:59:59.971200,2.31
29.221994535519126,1.465,2022-03-22 06:00:00.000000,0.43000000000000005
29.29553734061931,1.394,2022-04-18 04:00:00.028800,-0.38999999999999996
29.374772313296905,1.3870001,2022-05-17 04:00:00.028800,-0.7749999999999999
29.44831508677393,1.2950001,2022-06-13 01:59:59.971200,-0.845
29.533242258652095,1.3670001,2022-07-14 04:00:00.028800,-0.615
29.61247723132969,1.432,2022-08-12 04:00:00.028800,1.065
29.742372463823113,1.368,2022-09-28 16:59:59.971200,2.9699999999999998
29.818761384335154,1.4070001,2022-10-26 16:00:00.028800,2.925
29.900842409178303,1.4970001,2022-11-25 16:59:59.971200,1.815
29.9800773818559,1.588,2022-12-24 16:59:59.971200,0.89
30.062044594970654,1.7580001,2023-01-22 16:59:59.971200,-1.27
30.141165755919854,1.3570001,2023-02-20 16:00:00.028800,-3.465
